@relation tic-tac

@attribute V1 {o, b, x}
@attribute V2 {o, b, x}
@attribute V3 {o, b, x}
@attribute V4 {b, x, o}
@attribute V5 {x, o, b}
@attribute V6 {x, b, o}
@attribute V7 {x, b, o}
@attribute V8 {o, b, x}
@attribute V9 {x, o, b}
@attribute class {positive,negative}

@data
b,x,o,x,x,o,x,o,o,negative
b,o,b,x,x,x,x,o,o,positive
x,x,x,b,o,b,b,o,b,positive
x,b,x,o,x,x,o,o,o,negative
x,x,x,b,o,o,o,b,x,positive
b,o,x,x,x,o,x,o,b,positive
x,x,o,x,o,b,o,o,x,negative
x,x,b,x,x,o,o,o,o,negative
x,b,o,b,x,o,x,b,o,negative
x,x,o,b,x,o,o,x,b,positive
b,b,x,b,o,x,o,b,x,positive
b,o,x,b,o,o,x,x,x,positive
x,o,b,x,o,o,x,b,x,positive
b,b,o,b,o,b,x,x,x,positive
o,x,b,o,x,b,b,x,b,positive
x,x,x,b,o,o,b,x,o,positive
b,o,o,x,x,x,b,o,x,positive
b,x,o,b,o,x,o,b,x,negative
b,o,x,o,x,x,o,b,x,positive
x,x,x,b,o,b,o,o,x,positive
o,b,o,x,o,b,x,x,x,positive
b,x,x,b,o,x,o,o,x,positive
x,x,x,x,o,o,b,b,o,positive
x,x,o,b,x,o,o,b,x,positive
b,o,x,x,o,b,b,o,x,negative
o,o,o,b,b,x,b,x,x,negative
o,b,x,b,b,x,o,b,x,positive
o,b,b,o,x,x,o,x,b,negative
o,b,x,x,x,x,b,o,o,positive
x,x,b,o,o,o,b,x,b,negative
x,o,o,x,x,x,b,o,b,positive
o,o,x,b,x,b,x,x,o,positive
b,o,o,x,x,o,x,x,o,negative
x,o,x,b,x,b,x,o,o,positive
x,o,o,x,x,x,o,x,o,positive
x,o,o,b,o,b,x,x,x,positive
b,o,x,o,x,o,x,x,b,positive
o,x,b,o,b,x,o,x,b,negative
b,x,b,o,x,b,o,x,b,positive
o,o,x,b,x,x,o,b,x,positive
o,x,b,b,x,o,o,x,x,positive
x,b,x,x,o,o,x,o,b,positive
x,o,x,x,x,o,x,o,o,positive
x,x,x,x,b,o,o,o,b,positive
o,x,b,o,o,b,x,x,x,positive
o,b,x,o,x,x,x,o,b,positive
x,o,b,x,b,o,x,o,x,positive
o,b,x,b,x,x,x,o,o,positive
b,o,x,x,b,x,o,o,x,positive
o,b,x,o,x,o,x,x,b,positive
x,b,x,b,x,o,x,o,o,positive
o,b,b,x,x,x,o,x,o,positive
o,b,b,x,o,x,b,x,o,negative
o,o,x,x,x,o,o,x,x,negative
o,x,b,o,b,b,o,x,x,negative
o,x,o,b,x,b,o,x,x,positive
o,x,o,x,x,x,o,o,x,positive
b,o,o,x,o,x,o,x,x,negative
x,o,x,x,o,o,x,x,o,positive
x,o,o,x,o,x,b,o,x,negative
o,b,o,x,o,x,o,x,x,negative
x,o,o,x,x,b,b,o,x,positive
x,x,x,o,b,b,b,o,b,positive
x,o,x,x,x,b,o,o,o,negative
x,x,x,x,o,b,b,o,o,positive
o,o,o,x,b,x,x,x,o,negative
o,x,x,o,x,b,x,o,b,positive
x,b,x,o,o,o,b,x,b,negative
o,o,b,x,x,x,b,b,b,positive
x,x,o,o,x,o,x,b,o,negative
x,o,x,b,b,x,o,o,x,positive
x,b,o,x,x,b,o,o,x,positive
b,x,b,x,b,x,o,o,o,negative
o,x,b,b,x,x,o,x,o,positive
x,x,o,x,x,o,b,o,o,negative
o,o,x,x,o,x,o,x,x,positive
o,b,b,x,x,x,x,o,o,positive
o,b,x,b,o,x,b,x,o,negative
x,x,o,x,b,b,x,o,o,positive
o,b,x,x,o,x,o,x,o,negative
o,o,o,b,x,x,b,x,b,negative
b,x,o,b,x,o,x,b,o,negative
o,o,x,b,x,x,x,o,b,positive
o,x,b,x,o,b,b,x,o,negative
o,x,o,b,x,x,b,x,o,positive
