@relation tic-tac

@attribute V1 {o, b, x}
@attribute V2 {o, b, x}
@attribute V3 {o, b, x}
@attribute V4 {b, x, o}
@attribute V5 {x, o, b}
@attribute V6 {x, b, o}
@attribute V7 {x, b, o}
@attribute V8 {o, b, x}
@attribute V9 {x, o, b}
@attribute class {positive,negative}

@data
o,b,b,x,x,x,b,b,o,positive
o,x,o,b,o,x,o,x,x,negative
x,b,b,o,x,b,o,b,x,positive
o,x,x,o,x,x,o,b,o,negative
x,o,x,b,x,o,b,o,x,positive
x,b,x,x,x,o,o,o,o,negative
x,b,x,o,b,x,o,o,x,positive
x,o,x,b,o,b,x,o,b,negative
b,x,b,o,x,o,x,x,o,positive
x,b,b,o,x,x,o,o,x,positive
b,b,x,o,o,x,x,o,x,positive
x,b,o,o,x,b,b,b,x,positive
b,o,x,x,x,o,x,b,o,positive
o,b,x,b,x,b,x,o,b,positive
x,o,b,b,o,x,b,o,x,negative
x,o,b,o,x,o,b,x,x,positive
x,x,x,o,b,b,b,b,o,positive
x,b,b,b,x,b,o,o,x,positive
o,x,o,x,o,o,x,x,x,positive
o,x,b,b,x,b,o,x,b,positive
x,x,b,x,o,o,x,o,b,positive
o,x,o,o,x,b,b,x,x,positive
x,x,x,o,o,x,b,o,b,positive
b,x,o,x,x,x,o,b,o,positive
x,o,b,x,o,x,x,b,o,positive
o,o,o,b,x,b,x,x,b,negative
x,o,x,b,x,x,o,o,o,negative
o,x,o,o,x,b,x,x,b,positive
b,x,b,x,x,o,o,x,o,positive
o,x,b,o,o,x,o,x,x,negative
x,o,x,o,o,x,b,b,x,positive
o,b,x,x,o,x,b,o,x,positive
x,x,o,o,x,o,b,x,b,positive
o,o,x,o,x,x,x,x,o,positive
x,o,b,x,x,o,b,o,x,positive
x,o,o,x,b,b,x,b,b,positive
x,o,o,o,x,o,x,x,x,positive
o,x,x,o,o,o,b,x,x,negative
o,x,x,x,x,b,o,o,o,negative
x,o,x,x,b,x,o,o,o,negative
o,o,x,b,b,x,x,o,x,positive
b,o,x,o,o,x,x,b,x,positive
x,x,x,b,o,o,b,o,x,positive
o,o,x,x,x,x,o,b,b,positive
x,x,o,o,o,x,x,o,x,negative
x,o,x,x,x,o,o,o,x,positive
x,x,o,o,x,b,o,x,b,positive
b,o,x,o,x,o,x,b,x,positive
b,o,x,b,o,x,b,b,x,positive
b,o,o,o,b,x,x,x,x,positive
o,x,o,x,o,x,o,b,x,negative
o,x,b,x,o,x,o,x,o,negative
o,o,o,x,b,x,x,b,b,negative
o,x,o,b,x,b,x,x,o,positive
o,x,b,x,o,b,x,b,o,negative
o,x,x,x,x,o,o,o,x,negative
x,b,o,b,x,o,b,b,x,positive
x,x,x,b,o,o,x,b,o,positive
b,o,b,x,o,x,b,o,x,negative
x,o,o,o,x,b,b,x,x,positive
x,b,o,x,x,b,x,o,o,positive
x,b,b,o,x,o,x,o,x,positive
x,x,x,o,x,o,b,b,o,positive
b,x,o,b,x,o,o,x,x,positive
o,x,x,o,x,x,o,o,b,negative
x,o,o,b,x,o,x,x,o,negative
o,o,x,o,x,x,o,x,b,negative
x,x,o,b,o,x,o,x,o,negative
x,o,o,b,b,o,x,x,x,positive
b,b,o,x,x,x,x,o,o,positive
x,x,o,x,b,x,o,o,o,negative
o,o,x,o,x,b,x,x,b,positive
b,x,o,o,b,o,x,x,x,positive
x,x,b,b,x,o,o,o,x,positive
b,b,o,x,b,o,x,x,o,negative
x,x,o,b,x,x,o,o,o,negative
o,x,x,x,o,o,b,x,o,negative
x,o,x,x,x,o,o,x,o,negative
x,o,o,o,x,x,x,o,x,positive
x,o,o,x,x,o,b,x,o,negative
x,x,o,b,x,o,b,o,x,positive
b,o,o,b,x,o,x,x,x,positive
x,x,x,o,o,b,x,o,b,positive
o,o,x,o,b,b,x,x,x,positive
b,x,x,o,b,x,o,o,x,positive
o,o,x,x,b,x,o,b,x,positive
