@relation tic-tac

@attribute V1 {o, b, x}
@attribute V2 {o, b, x}
@attribute V3 {o, b, x}
@attribute V4 {b, x, o}
@attribute V5 {x, o, b}
@attribute V6 {x, b, o}
@attribute V7 {x, b, o}
@attribute V8 {o, b, x}
@attribute V9 {x, o, b}
@attribute class {positive,negative}

@data
x,b,b,o,o,o,x,x,b,negative
o,x,x,b,o,x,b,o,x,positive
o,b,x,x,x,x,o,b,o,positive
o,x,x,b,o,x,b,b,o,negative
x,x,x,o,b,b,x,o,o,positive
b,x,x,o,o,x,o,b,x,positive
b,b,o,o,o,x,x,x,x,positive
o,b,x,o,b,x,o,x,b,negative
x,x,b,o,x,b,o,o,x,positive
b,x,x,b,x,b,o,o,o,negative
x,b,x,b,b,x,o,o,o,negative
b,x,x,o,x,o,x,b,o,positive
b,o,b,b,b,o,x,x,x,positive
x,x,o,x,o,b,o,b,b,negative
x,x,x,o,o,b,b,x,o,positive
x,x,b,o,x,b,o,x,o,positive
o,x,x,o,o,x,x,b,o,negative
x,x,o,x,o,b,x,o,b,positive
o,x,b,o,x,x,b,x,o,positive
x,x,x,b,o,x,o,b,o,positive
x,o,b,x,b,o,x,b,b,positive
x,x,x,x,b,o,o,b,o,positive
o,x,o,x,x,x,x,o,o,positive
x,o,b,o,x,b,x,o,x,positive
o,x,o,x,x,b,b,x,o,positive
x,x,o,o,o,o,x,b,x,negative
b,x,o,x,o,x,o,x,o,negative
x,o,b,o,x,b,o,x,x,positive
x,o,o,o,x,x,b,b,x,positive
o,x,x,o,x,o,x,o,x,positive
o,b,b,b,o,x,x,x,o,negative
x,o,x,o,o,x,x,x,o,negative
o,b,x,x,b,x,o,o,x,positive
x,x,o,b,o,x,o,o,x,negative
o,x,b,o,x,b,x,x,o,positive
b,b,x,o,b,x,b,o,x,positive
x,o,o,x,b,x,x,o,b,positive
o,o,b,x,o,x,x,x,o,negative
o,o,b,x,x,x,b,x,o,positive
o,o,b,o,x,b,x,x,x,positive
o,b,x,x,o,x,o,b,x,positive
o,x,o,b,x,x,o,x,b,positive
b,o,o,x,x,x,b,b,b,positive
o,o,x,b,x,o,x,x,b,positive
x,x,x,o,b,o,b,b,b,positive
o,o,x,o,x,x,x,b,b,positive
x,b,o,x,b,o,x,b,b,positive
o,b,b,b,o,b,x,x,x,positive
x,o,o,b,x,x,b,o,x,positive
o,x,b,o,b,x,o,b,x,negative
b,x,x,o,x,o,b,x,o,positive
b,x,o,b,x,o,b,x,b,positive
x,o,x,o,x,o,o,x,x,positive
x,b,b,x,x,b,o,o,o,negative
b,x,o,x,b,o,b,x,o,negative
o,x,x,o,x,b,o,b,b,negative
o,x,b,o,x,o,b,x,x,positive
x,x,x,o,x,o,b,o,b,positive
x,b,x,o,x,o,o,b,x,positive
b,x,o,o,o,x,o,x,x,negative
b,b,x,x,x,b,o,o,o,negative
x,x,b,b,x,b,o,o,o,negative
b,o,b,b,o,b,x,x,x,positive
x,o,x,x,b,o,x,b,o,positive
b,x,o,b,o,x,o,x,b,negative
b,o,o,o,x,b,x,x,x,positive
b,b,b,o,o,b,x,x,x,positive
b,x,x,b,b,x,o,o,o,negative
x,b,x,x,b,b,o,o,o,negative
o,x,b,x,x,o,o,x,b,positive
x,o,b,x,o,o,x,x,b,positive
x,b,b,b,x,o,b,o,x,positive
o,b,x,x,o,x,b,b,o,negative
o,o,x,b,o,x,x,x,o,negative
x,b,x,o,o,o,x,x,o,negative
x,x,o,o,o,o,b,x,x,negative
x,o,b,x,o,x,o,o,x,negative
b,x,b,b,x,o,b,x,o,positive
x,x,o,b,o,o,x,x,o,negative
b,o,o,x,x,x,x,b,o,positive
o,x,x,x,o,x,b,o,o,negative
b,o,o,b,o,x,x,x,x,positive
o,x,b,o,x,b,o,b,x,negative
x,o,b,b,x,o,x,o,x,positive
x,o,x,o,o,b,x,o,x,negative
b,x,o,o,x,x,b,x,o,positive
