@relation tic-tac

@attribute V1 {o, b, x}
@attribute V2 {o, b, x}
@attribute V3 {o, b, x}
@attribute V4 {b, x, o}
@attribute V5 {x, o, b}
@attribute V6 {x, b, o}
@attribute V7 {x, b, o}
@attribute V8 {o, b, x}
@attribute V9 {x, o, b}
@attribute class {positive,negative}

@data
x,x,o,o,x,x,o,x,o,positive
o,b,b,o,x,b,o,x,x,negative
b,o,x,o,x,b,x,b,b,positive
b,x,b,o,o,o,x,b,x,negative
x,o,x,x,b,b,x,o,o,positive
x,b,o,x,o,x,o,o,x,negative
b,x,x,o,o,o,x,b,b,negative
o,x,x,o,x,x,x,o,o,positive
o,x,x,o,o,x,b,x,o,negative
x,x,o,o,x,o,x,o,x,positive
b,x,b,b,x,x,o,o,o,negative
o,x,x,o,b,x,o,x,o,negative
b,x,o,x,o,x,o,b,b,negative
o,x,o,x,x,b,o,x,b,positive
o,x,o,o,x,x,x,o,x,negative
b,x,o,x,o,o,o,x,x,negative
x,o,b,x,x,o,o,b,x,positive
b,o,x,o,b,x,b,b,x,positive
x,x,x,b,b,b,b,o,o,positive
b,b,o,x,x,x,b,b,o,positive
o,o,x,x,o,x,b,b,x,positive
o,x,b,o,b,o,x,x,x,positive
o,x,o,x,o,x,b,x,o,negative
x,x,o,x,o,o,x,b,b,positive
o,x,x,o,x,o,x,x,o,positive
b,b,x,o,x,o,x,o,x,positive
o,x,x,b,x,o,x,o,b,positive
o,x,o,x,o,b,o,x,x,negative
x,b,x,o,x,o,x,o,b,positive
x,o,o,x,x,b,x,b,o,positive
b,b,o,x,x,x,o,b,b,positive
o,x,x,x,o,b,x,o,o,negative
b,o,x,o,x,b,x,o,x,positive
b,o,x,b,x,x,o,o,x,positive
o,x,x,b,x,o,x,b,o,positive
b,x,b,b,x,b,o,x,o,positive
o,x,x,b,x,o,o,x,b,positive
x,o,o,b,x,o,b,x,x,positive
x,b,x,o,o,x,b,o,x,positive
o,o,x,o,x,x,x,o,x,positive
b,o,x,x,o,x,b,o,b,negative
x,x,o,x,o,b,x,b,o,positive
b,b,x,o,o,o,b,x,x,negative
b,b,x,x,o,x,o,o,x,positive
b,o,x,o,b,x,o,x,x,positive
b,o,b,o,x,o,x,x,x,positive
b,o,x,b,o,b,x,o,x,negative
b,o,b,x,x,x,b,o,b,positive
x,o,o,x,b,b,x,x,o,positive
b,b,b,x,x,x,o,o,b,positive
o,b,b,o,x,o,x,x,x,positive
o,o,x,x,o,b,x,x,o,negative
x,o,b,b,o,o,x,x,x,positive
x,x,x,o,o,x,o,x,o,positive
o,b,x,x,o,o,x,x,o,negative
b,o,x,x,x,x,o,o,b,positive
o,x,b,x,x,o,b,x,o,positive
x,o,b,b,o,b,x,o,x,negative
o,b,x,o,b,x,b,b,x,positive
o,x,x,o,o,o,x,x,b,negative
x,x,x,o,b,o,x,b,o,positive
o,x,o,x,x,x,b,o,b,positive
b,b,x,o,x,x,x,o,o,positive
x,o,x,o,o,o,b,x,x,negative
x,x,o,b,o,b,o,x,b,negative
o,b,x,o,o,x,x,x,o,negative
b,o,b,x,x,x,o,b,b,positive
x,x,o,b,o,b,o,b,x,negative
x,o,o,x,x,o,x,o,x,positive
o,x,x,o,o,o,x,b,x,negative
b,x,x,o,x,b,x,o,o,positive
x,o,o,x,x,x,o,b,b,positive
o,o,o,x,x,b,o,x,x,negative
x,o,x,o,x,b,x,b,o,positive
x,b,o,o,b,o,x,x,x,positive
o,b,x,o,o,b,x,x,x,positive
o,o,x,x,x,o,x,b,b,positive
x,b,o,x,x,x,o,b,o,positive
o,x,x,o,b,b,o,b,x,negative
b,b,x,o,x,o,x,x,o,positive
x,x,x,b,o,o,b,b,b,positive
x,x,x,o,b,o,o,b,x,positive
x,o,b,b,x,x,o,o,x,positive
o,x,o,x,x,o,x,o,x,negative
o,o,o,x,x,b,x,o,x,negative
x,o,b,b,o,x,x,o,b,negative
