@relation tic-tac

@attribute V1 {o, b, x}
@attribute V2 {o, b, x}
@attribute V3 {o, b, x}
@attribute V4 {b, x, o}
@attribute V5 {x, o, b}
@attribute V6 {x, b, o}
@attribute V7 {x, b, o}
@attribute V8 {o, b, x}
@attribute V9 {x, o, b}
@attribute class {positive,negative}

@data
x,o,b,b,x,o,o,x,x,positive
b,o,b,x,o,o,x,x,x,positive
x,x,x,o,o,b,o,b,x,positive
x,b,x,o,x,b,x,o,o,positive
b,b,x,b,x,o,x,o,b,positive
b,o,x,x,o,x,x,o,o,negative
x,x,o,b,x,o,x,o,o,negative
x,x,o,o,o,x,x,x,o,negative
x,o,x,b,x,o,x,o,b,positive
b,x,o,b,b,o,x,x,o,negative
x,b,o,x,x,o,b,o,x,positive
o,b,x,o,o,x,x,b,x,positive
x,b,o,o,o,b,x,x,x,positive
x,x,x,b,o,b,x,o,o,positive
o,x,b,o,x,x,o,o,x,negative
b,b,b,x,x,x,o,b,o,positive
b,x,o,x,b,o,x,b,o,negative
o,x,x,x,o,o,x,b,o,negative
x,b,o,b,o,x,o,x,b,negative
o,o,x,x,x,o,x,x,o,positive
x,o,x,b,x,o,x,b,o,positive
o,b,x,x,o,b,x,b,o,negative
b,o,x,b,x,o,x,b,b,positive
x,x,x,o,o,b,b,b,b,positive
x,x,x,x,o,o,o,o,x,positive
o,b,o,o,b,x,x,x,x,positive
o,b,b,o,b,b,x,x,x,positive
b,b,x,b,x,x,o,o,o,negative
x,o,x,b,o,o,x,o,x,negative
o,x,x,x,o,x,o,b,o,negative
x,x,o,x,o,x,x,o,o,positive
o,x,x,x,x,o,o,x,o,positive
x,x,x,x,o,b,o,o,b,positive
o,b,x,o,x,x,b,o,x,positive
x,x,x,b,b,o,b,o,b,positive
o,x,x,o,b,b,o,x,b,negative
x,x,x,b,o,o,x,o,b,positive
b,x,x,o,o,o,o,x,x,negative
o,b,b,x,o,o,x,x,x,positive
o,o,b,b,o,x,x,x,x,positive
o,o,x,x,x,x,o,o,x,positive
x,b,b,x,b,b,x,o,o,positive
o,b,x,b,x,o,x,x,o,positive
b,x,o,x,x,b,o,x,o,positive
o,o,b,x,b,o,x,x,x,positive
x,o,o,o,b,b,x,x,x,positive
o,o,x,b,x,x,b,o,x,positive
b,x,o,b,x,b,o,x,b,positive
o,o,o,b,x,x,x,b,b,negative
o,x,b,b,o,b,x,x,o,negative
x,o,o,b,x,b,b,b,x,positive
x,o,o,x,x,o,b,b,x,positive
x,x,x,b,b,b,o,o,b,positive
o,x,o,o,b,x,o,x,x,negative
o,x,x,o,b,o,o,x,x,negative
x,b,o,b,x,x,o,o,x,positive
x,x,x,b,x,o,o,o,b,positive
x,x,x,o,x,b,o,b,o,positive
o,x,o,x,x,o,x,b,o,negative
o,x,b,o,x,x,o,b,b,negative
o,o,o,x,o,x,b,x,x,negative
o,b,x,o,x,x,o,b,b,negative
x,x,o,b,o,o,o,x,x,negative
x,o,o,o,x,x,o,x,x,positive
o,b,x,o,x,b,x,o,x,positive
x,o,b,x,x,b,x,o,o,positive
o,o,o,x,b,x,b,b,x,negative
x,o,o,x,o,b,x,b,x,positive
x,o,o,x,x,o,o,x,x,positive
x,b,o,x,o,o,o,x,x,negative
x,x,b,b,x,o,o,x,o,positive
x,x,o,b,b,o,b,x,o,negative
o,x,o,x,x,o,b,x,b,positive
b,b,o,x,x,x,o,x,o,positive
x,o,o,x,o,x,o,x,b,negative
o,o,b,x,x,x,o,x,b,positive
x,x,o,x,o,o,o,b,x,negative
b,o,x,b,x,b,x,b,o,positive
b,o,b,x,x,x,o,x,o,positive
b,o,x,o,x,b,x,x,o,positive
x,x,o,o,x,b,b,o,x,positive
o,x,x,b,o,x,x,o,o,negative
x,o,x,o,x,b,x,o,b,positive
o,x,x,x,x,o,x,o,o,positive
x,b,o,x,o,b,x,x,o,positive
x,o,o,x,o,b,x,x,b,positive
