@relation tic-tac

@attribute V1 {o, b, x}
@attribute V2 {o, b, x}
@attribute V3 {o, b, x}
@attribute V4 {b, x, o}
@attribute V5 {x, o, b}
@attribute V6 {x, b, o}
@attribute V7 {x, b, o}
@attribute V8 {o, b, x}
@attribute V9 {x, o, b}
@attribute class {positive,negative}

@data
o,x,x,x,o,o,o,x,x,negative
b,x,x,o,x,o,o,x,b,positive
b,b,b,x,x,x,b,o,o,positive
x,x,x,o,b,o,o,x,b,positive
x,b,o,o,x,x,b,o,x,positive
b,o,x,o,b,o,x,x,x,positive
x,o,x,o,o,o,x,x,b,negative
b,o,o,x,b,o,x,x,x,positive
x,b,b,x,o,o,x,b,b,positive
x,b,o,x,o,o,x,b,x,positive
o,x,o,x,x,x,o,b,b,positive
o,x,o,b,b,o,x,x,x,positive
x,o,o,b,o,x,o,x,x,negative
o,x,o,x,o,x,x,o,x,negative
o,o,o,b,b,x,x,b,x,negative
x,b,b,b,x,o,o,b,x,positive
o,o,x,x,x,x,x,o,o,positive
b,x,o,b,x,b,b,x,o,positive
b,o,x,x,x,b,x,o,o,positive
o,o,o,b,x,b,b,x,x,negative
x,b,b,x,x,o,x,o,o,positive
x,o,b,o,x,b,b,b,x,positive
b,b,x,o,x,x,o,o,x,positive
x,b,x,o,o,o,b,b,x,negative
b,x,o,o,x,b,b,x,b,positive
b,x,b,o,x,o,o,x,x,positive
o,x,b,x,x,x,o,b,o,positive
x,x,x,b,o,x,b,o,o,positive
b,x,o,o,x,x,o,x,b,positive
x,x,o,x,o,b,o,x,o,negative
x,x,x,x,o,o,x,o,o,positive
o,x,x,o,o,b,o,x,x,negative
o,x,b,o,x,o,x,x,b,positive
o,x,b,x,o,x,x,o,o,negative
x,o,x,o,o,x,o,x,x,positive
x,x,x,b,x,o,o,b,o,positive
b,x,x,x,o,x,o,o,o,negative
x,x,x,o,x,b,o,o,b,positive
x,b,b,x,o,o,x,x,o,positive
x,x,x,o,x,o,x,o,o,positive
b,o,x,b,x,o,x,x,o,positive
b,o,x,b,o,x,o,x,x,positive
x,o,o,o,o,x,x,x,x,positive
o,o,x,o,b,x,b,x,x,positive
x,x,b,x,b,o,x,o,o,positive
o,o,b,x,x,x,x,b,o,positive
b,o,b,o,b,b,x,x,x,positive
x,x,x,x,b,o,b,o,o,positive
x,x,o,b,x,b,o,o,x,positive
o,o,o,b,b,x,x,x,b,negative
o,o,o,o,x,x,b,x,x,negative
b,b,o,x,x,o,b,x,o,negative
o,b,x,b,x,x,o,o,x,positive
o,o,x,b,b,o,x,x,x,positive
x,o,o,x,x,b,x,o,b,positive
x,x,o,o,x,x,x,o,o,negative
x,b,x,o,o,o,x,b,b,negative
x,x,x,o,b,o,x,o,b,positive
b,o,b,x,o,x,x,o,b,negative
o,x,b,o,o,x,x,x,o,negative
x,x,o,b,b,o,x,b,o,negative
o,o,b,b,b,b,x,x,x,positive
x,o,b,o,x,x,o,b,x,positive
x,b,o,b,o,b,o,x,x,negative
o,o,b,o,x,x,o,x,x,negative
o,o,x,b,o,x,b,x,x,positive
o,x,x,o,x,o,o,b,x,negative
o,b,x,o,x,b,o,x,b,negative
o,o,o,x,x,b,x,b,b,negative
b,x,o,o,x,b,x,x,o,positive
b,x,x,o,o,o,b,b,x,negative
o,b,o,x,x,x,o,x,b,positive
b,x,o,x,o,b,o,b,x,negative
o,o,x,b,x,o,x,b,x,positive
x,x,x,x,o,o,b,o,b,positive
x,x,o,o,o,x,o,b,x,negative
x,b,b,o,o,o,b,x,x,negative
o,o,x,x,o,x,x,b,o,negative
o,o,o,b,x,b,x,b,x,negative
x,x,x,b,o,b,o,x,o,positive
x,o,b,o,o,x,x,o,x,negative
x,b,o,o,x,o,x,x,o,negative
o,b,x,b,o,o,x,x,x,positive
x,o,b,x,b,x,x,o,o,positive
o,o,x,b,o,x,x,b,x,positive
o,x,x,b,o,o,x,x,o,negative
